Timestamp,Symbol,Timeframe,Strategy,Volume,Volatility (%),Liquidity,Spread (%),Depth,Entry Price,Stop Loss,Target 1,Target 2,Final Target,T1 Gain (%),T2 Gain (%),Final Gain (%)
2025-03-26 09:23:19,KAVA/USDT,1d,Z-Score Statistical Strategy,47928943.16425995,59.84,High,0.0406421459053106,3562.9788,0.4919,0.4384,0.5454,0.5811,0.6346,10.88,18.13,29.01
2025-03-26 09:23:23,RAY/USDT,1d,Z-Score Statistical Strategy,57720167.34429914,495.67,High,0.02913469942701437,1980.7350999999999,2.0572,1.7370,2.3774,2.5908,2.9110,15.56,25.94,41.5
2025-03-26 09:23:25,LDO/USDT,1d,Z-Score Statistical Strategy,98783729.39632997,199.61,High,0.046670089139885844,6567.108,1.0715,0.9804,1.1625,1.2232,1.3143,8.5,14.16,22.66
2025-03-26 09:23:32,SEI/USDT,1d,Z-Score Statistical Strategy,884672874.3447028,231.63,High,0.0463070155128451,343450.2493,0.2160,0.2000,0.2320,0.2427,0.2587,7.41,12.34,19.75
2025-03-26 09:23:33,ENS/USDT,1d,Z-Score Statistical Strategy,2272745.89731793,204.29,High,0.027535314040270716,128.3497,18.1560,16.6620,19.6500,20.6460,22.1400,8.23,13.71,21.94
2025-03-26 09:23:36,ARB/USDT,1d,Z-Score Statistical Strategy,441208980.81813407,244.72,High,0.02516039753429224,180788.2994,0.3974,0.3678,0.4270,0.4467,0.4763,7.44,12.4,19.84
2025-03-26 09:23:44,APE/USDT,1d,Z-Score Statistical Strategy,54551755.19523616,287.02,High,0.017308524448288877,19656.5612,0.5780,0.5266,0.6294,0.6636,0.7150,8.89,14.81,23.7
2025-03-26 09:23:55,HMND/USDT,1d,Z-Score Statistical Strategy,261586364.96550003,271.39,High,0.024081878386504812,236756.5148,0.0415,0.0374,0.0456,0.0483,0.0524,9.83,16.39,26.22
2025-03-26 09:23:57,LUNC/USDT,1d,Z-Score Statistical Strategy,982303493721.5188,187.45,High,0.014971180477572904,52880716.7257,0.0000668000,0.0000619357,0.0000716643,0.0000749071,0.0000797714,7.28,12.14,19.42
2025-03-26 09:24:04,CKB/USDT,1d,Z-Score Statistical Strategy,3735592607.3890595,227.72,High,0.03566333808844981,689397.6787,0.0056,0.0050,0.0062,0.0066,0.0072,10.38,17.3,27.68
