Timestamp,Symbol,Timeframe,Strategy,Volume,Volatility (%),Liquidity,Spread (%),Depth,Entry Price,Stop Loss,Target 1,Target 2,Final Target,T1 Gain (%),T2 Gain (%),Final Gain (%)
2025-03-27 10:59:43,ADX/USDT,1d,Z-Score Statistical Strategy,1044781644.0712,179.46,High,0.04512839027032661,20715.0,0.1108,0.1025,0.1191,0.1246,0.1328,7.46,12.43,19.88
2025-03-27 10:59:44,CAKE/USDT,1d,Z-Score Statistical Strategy,45246226.496329896,204.01,High,0.04172751929897309,13081.4025,2.3960,1.9219,2.8701,3.1862,3.6603,19.79,32.98,52.77
2025-03-27 10:59:46,ONE/USDT,1d,Z-Score Statistical Strategy,2969256218.837027,256.98,High,0.03844527315366419,123202.7454,0.0130,0.0119,0.0141,0.0148,0.0159,8.27,13.79,22.07
2025-03-27 10:59:52,TRUMP/USDT,1d,Z-Score Statistical Strategy,94919859.67560339,869.7,High,0.01754385964912867,1256.04,11.4010,10.1811,12.6209,13.4342,14.6541,10.7,17.83,28.53
2025-03-27 10:59:53,KAS/USDT,1d,Z-Score Statistical Strategy,4256952735.265585,185.33,High,0.02616088947025,70390.279,0.0765,0.0690,0.0840,0.0890,0.0965,9.81,16.34,26.15
2025-03-27 10:59:57,JTO/USDT,1d,Z-Score Statistical Strategy,14427977.62146727,88.88,High,0.04254413954477301,6584.06,2.3510,2.1392,2.5628,2.7040,2.9159,9.01,15.02,24.03
2025-03-27 11:00:05,AXS/USDT,1d,Z-Score Statistical Strategy,8119253.095527681,176.46,High,0.02960769800149027,2692.8586999999998,3.3780,3.1228,3.6332,3.8034,4.0586,7.56,12.59,20.15
2025-03-27 11:00:06,VELO/USDT,1d,Z-Score Statistical Strategy,12864461423.566914,277.56,High,0.007331109563439756,175355.4204,0.0137,0.0121,0.0152,0.0162,0.0178,11.36,18.94,30.3
2025-03-27 11:00:12,FET/USDT,1d,Z-Score Statistical Strategy,966186767.7871101,292.83,High,0.018336847895844686,18097.5123,0.5452,0.4970,0.5934,0.6255,0.6737,8.84,14.73,23.57
2025-03-27 11:00:17,XRP/USDT,1d,Z-Score Statistical Strategy,4457268443.530543,100.14,High,0.0004244869544386021,6675.4800000000005,2.3558,2.1706,2.5410,2.6645,2.8498,7.86,13.11,20.97
